table,slot,entry_kind,target
v30op_repc,0x6b,handler,v30_reserved_repc
v30op_repc,0x6c,handler,v30_reserved_repc
v30op_repc,0x6d,handler,v30_reserved_repc
v30op_repc,0x6e,handler,v30_reserved_repc
v30op_repc,0x6f,handler,v30_reserved_repc
v30op_repc,0x70,handler,v30_reserved_repc
v30op_repc,0x71,handler,v30_reserved_repc
v30op_repc,0x72,handler,v30_reserved_repc
v30op_repc,0x73,handler,v30_reserved_repc
v30op_repc,0x74,handler,v30_reserved_repc
v30op_repc,0x75,handler,v30_reserved_repc
v30op_repc,0x76,handler,v30_reserved_repc
v30op_repc,0x77,handler,v30_reserved_repc
v30op_repc,0x78,handler,v30_reserved_repc
v30op_repc,0x79,handler,v30_reserved_repc
v30op_repc,0x7a,handler,v30_reserved_repc
v30op_repc,0x7b,handler,v30_reserved_repc
v30op_repc,0x7c,handler,v30_reserved_repc
v30op_repc,0x7d,handler,v30_reserved_repc
v30op_repc,0x7e,handler,v30_reserved_repc
v30op_repc,0x7f,handler,v30_reserved_repc
v30op_repc,0x80,handler,v30_reserved_repc
v30op_repc,0x81,handler,v30_reserved_repc
v30op_repc,0x82,handler,v30_reserved_repc
v30op_repc,0x83,handler,v30_reserved_repc
v30op_repc,0x84,handler,v30_reserved_repc
v30op_repc,0x85,handler,v30_reserved_repc
v30op_repc,0x86,handler,v30_reserved_repc
v30op_repc,0x87,handler,v30_reserved_repc
v30op_repc,0x88,handler,v30_reserved_repc
v30op_repc,0x89,handler,v30_reserved_repc
v30op_repc,0x8a,handler,v30_reserved_repc
v30op_repc,0x8b,handler,v30_reserved_repc
v30op_repc,0x8c,handler,v30_reserved_repc
v30op_repc,0x8d,handler,v30_reserved_repc
v30op_repc,0x8e,handler,v30_reserved_repc
v30op_repc,0x8f,handler,v30_reserved_repc
v30op_repc,0x90,handler,v30_reserved_repc
v30op_repc,0x91,handler,v30_reserved_repc
v30op_repc,0x92,handler,v30_reserved_repc
v30op_repc,0x93,handler,v30_reserved_repc
v30op_repc,0x94,handler,v30_reserved_repc
v30op_repc,0x95,handler,v30_reserved_repc
v30op_repc,0x96,handler,v30_reserved_repc
v30op_repc,0x97,handler,v30_reserved_repc
v30op_repc,0x98,handler,v30_reserved_repc
v30op_repc,0x99,handler,v30_reserved_repc
v30op_repc,0x9a,handler,v30_reserved_repc
v30op_repc,0x9b,handler,v30_reserved_repc
v30op_repc,0x9c,handler,v30_reserved_repc
v30op_repc,0x9d,handler,v30_reserved_repc
v30op_repc,0x9e,handler,v30_reserved_repc
v30op_repc,0x9f,handler,v30_reserved_repc
v30op_repc,0xa0,handler,v30_reserved_repc
v30op_repc,0xa1,handler,v30_reserved_repc
v30op_repc,0xa2,handler,v30_reserved_repc
v30op_repc,0xa3,handler,v30_reserved_repc
v30op_repc,0xa4,handler,v30_reserved_repc
v30op_repc,0xa5,handler,v30_reserved_repc
v30op_repc,0xa6,handler,v30_reserved_repc
v30op_repc,0xa7,handler,v30_reserved_repc
v30op_repc,0xa8,handler,v30_reserved_repc
v30op_repc,0xa9,handler,v30_reserved_repc
v30op_repc,0xaa,handler,v30_reserved_repc
v30op_repc,0xab,handler,v30_reserved_repc
v30op_repc,0xac,handler,v30_reserved_repc
v30op_repc,0xad,handler,v30_reserved_repc
v30op_repc,0xae,handler,v30repc_xscasb
v30op_repc,0xaf,handler,v30_reserved_repc
v30op_repc,0xb0,handler,v30_reserved_repc
v30op_repc,0xb1,handler,v30_reserved_repc
v30op_repc,0xb2,handler,v30_reserved_repc
v30op_repc,0xb3,handler,v30_reserved_repc
v30op_repc,0xb4,handler,v30_reserved_repc
v30op_repc,0xb5,handler,v30_reserved_repc
v30op_repc,0xb6,handler,v30_reserved_repc
v30op_repc,0xb7,handler,v30_reserved_repc
v30op_repc,0xb8,handler,v30_reserved_repc
v30op_repc,0xb9,handler,v30_reserved_repc
v30op_repc,0xba,handler,v30_reserved_repc
v30op_repc,0xbb,handler,v30_reserved_repc
v30op_repc,0xbc,handler,v30_reserved_repc
v30op_repc,0xbd,handler,v30_reserved_repc
v30op_repc,0xbe,handler,v30_reserved_repc
v30op_repc,0xbf,handler,v30_reserved_repc
v30op_repc,0xc0,handler,v30_reserved_repc
v30op_repc,0xc1,handler,v30_reserved_repc
v30op_repc,0xc2,handler,v30_reserved_repc
v30op_repc,0xc3,handler,v30_reserved_repc
v30op_repc,0xc4,handler,v30_reserved_repc
v30op_repc,0xc5,handler,v30_reserved_repc
v30op_repc,0xc6,handler,v30_reserved_repc
v30op_repc,0xc7,handler,v30_reserved_repc
