table,slot,entry_kind,target
upd9002op_repc,0x0c,handler,_reserved_repc
upd9002op_repc,0x0d,handler,_reserved_repc
upd9002op_repc,0x0e,handler,_reserved_repc
upd9002op_repc,0x0f,handler,_reserved_repc
upd9002op_repc,0x10,handler,_reserved_repc
upd9002op_repc,0x11,handler,_reserved_repc
upd9002op_repc,0x12,handler,_reserved_repc
upd9002op_repc,0x13,handler,_reserved_repc
upd9002op_repc,0x14,handler,_reserved_repc
upd9002op_repc,0x15,handler,_reserved_repc
upd9002op_repc,0x16,handler,_reserved_repc
upd9002op_repc,0x17,handler,_reserved_repc
upd9002op_repc,0x18,handler,_reserved_repc
upd9002op_repc,0x19,handler,_reserved_repc
upd9002op_repc,0x1a,handler,_reserved_repc
upd9002op_repc,0x1b,handler,_reserved_repc
upd9002op_repc,0x1c,handler,_reserved_repc
upd9002op_repc,0x1d,handler,_reserved_repc
upd9002op_repc,0x1e,handler,_reserved_repc
upd9002op_repc,0x1f,handler,_reserved_repc
upd9002op_repc,0x20,handler,_reserved_repc
upd9002op_repc,0x21,handler,_reserved_repc
upd9002op_repc,0x22,handler,_reserved_repc
upd9002op_repc,0x23,handler,_reserved_repc
upd9002op_repc,0x24,handler,_reserved_repc
upd9002op_repc,0x25,handler,_reserved_repc
upd9002op_repc,0x26,handler,_repc_segprefix_es
upd9002op_repc,0x27,handler,_reserved_repc
upd9002op_repc,0x28,handler,_reserved_repc
