mode,opcode,subopcode,target,classification,basis
v30op_0f,0x0f,0x29,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2a,v30_ror4_ea8,implemented,second-byte-resolved
v30op_0f,0x0f,0x2b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x2f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x30,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x31,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x32,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x33,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x34,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x35,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x36,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x37,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x38,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x39,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x3f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x40,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x41,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x42,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x43,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x44,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x45,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x46,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x47,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x48,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x49,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x4f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x50,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x51,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x52,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x53,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x54,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x55,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x56,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x57,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x58,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x59,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x5f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x60,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x61,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x62,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x63,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x64,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x65,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x66,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x67,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x68,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x69,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x6f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x70,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x71,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x72,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x73,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x74,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x75,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x76,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x77,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x78,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x79,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x7f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x80,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x81,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x82,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x83,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x84,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x85,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x86,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x87,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x88,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x89,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x8f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x90,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x91,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x92,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x93,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x94,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x95,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x96,v30_reserved_0x0f,known_target_gap,second-byte-resolved
