root,slot,base,base_target,operation,final_target
v30op_repne,0x66,i286op_repne,_reserved,patch,v30_reserved
v30op_repne,0x67,i286op_repne,_reserved,patch,v30_reserved
v30op_repne,0x68,i286op_repne,_push_data16,base,_push_data16
v30op_repne,0x69,i286op_repne,_imul_reg_ea_data16,base,_imul_reg_ea_data16
v30op_repne,0x6a,i286op_repne,_push_data8,base,_push_data8
v30op_repne,0x6b,i286op_repne,_imul_reg_ea_data8,base,_imul_reg_ea_data8
v30op_repne,0x6c,i286op_repne,i286c_rep_insb,base,i286c_rep_insb
v30op_repne,0x6d,i286op_repne,i286c_rep_insw,base,i286c_rep_insw
v30op_repne,0x6e,i286op_repne,i286c_rep_outsb,base,i286c_rep_outsb
v30op_repne,0x6f,i286op_repne,i286c_rep_outsb,base,i286c_rep_outsb
v30op_repne,0x70,i286op_repne,_jo_short,base,_jo_short
v30op_repne,0x71,i286op_repne,_jno_short,base,_jno_short
v30op_repne,0x72,i286op_repne,_jc_short,base,_jc_short
v30op_repne,0x73,i286op_repne,_jnc_short,base,_jnc_short
v30op_repne,0x74,i286op_repne,_jz_short,base,_jz_short
v30op_repne,0x75,i286op_repne,_jnz_short,base,_jnz_short
v30op_repne,0x76,i286op_repne,_jna_short,base,_jna_short
v30op_repne,0x77,i286op_repne,_ja_short,base,_ja_short
v30op_repne,0x78,i286op_repne,_js_short,base,_js_short
v30op_repne,0x79,i286op_repne,_jns_short,base,_jns_short
v30op_repne,0x7a,i286op_repne,_jp_short,base,_jp_short
v30op_repne,0x7b,i286op_repne,_jnp_short,base,_jnp_short
v30op_repne,0x7c,i286op_repne,_jl_short,base,_jl_short
v30op_repne,0x7d,i286op_repne,_jnl_short,base,_jnl_short
v30op_repne,0x7e,i286op_repne,_jle_short,base,_jle_short
v30op_repne,0x7f,i286op_repne,_jnle_short,base,_jnle_short
v30op_repne,0x80,i286op_repne,_calc_ea8_i8,base,_calc_ea8_i8
v30op_repne,0x81,i286op_repne,_calc_ea16_i16,base,_calc_ea16_i16
v30op_repne,0x82,i286op_repne,_calc_ea8_i8,base,_calc_ea8_i8
v30op_repne,0x83,i286op_repne,_calc_ea16_i8,base,_calc_ea16_i8
v30op_repne,0x84,i286op_repne,_test_ea_r8,base,_test_ea_r8
v30op_repne,0x85,i286op_repne,_test_ea_r16,base,_test_ea_r16
v30op_repne,0x86,i286op_repne,_xchg_ea_r8,base,_xchg_ea_r8
v30op_repne,0x87,i286op_repne,_xchg_ea_r16,base,_xchg_ea_r16
v30op_repne,0x88,i286op_repne,_mov_ea_r8,base,_mov_ea_r8
v30op_repne,0x89,i286op_repne,_mov_ea_r16,base,_mov_ea_r16
v30op_repne,0x8a,i286op_repne,_mov_r8_ea,base,_mov_r8_ea
v30op_repne,0x8b,i286op_repne,_mov_r16_ea,base,_mov_r16_ea
v30op_repne,0x8c,i286op_repne,_mov_ea_seg,base,_mov_ea_seg
v30op_repne,0x8d,i286op_repne,_lea_r16_ea,base,_lea_r16_ea
v30op_repne,0x8e,i286op_repne,_mov_seg_ea,patch,v30mov_seg_ea
v30op_repne,0x8f,i286op_repne,_pop_ea,base,_pop_ea
v30op_repne,0x90,i286op_repne,_nop,base,_nop
v30op_repne,0x91,i286op_repne,_xchg_ax_cx,base,_xchg_ax_cx
v30op_repne,0x92,i286op_repne,_xchg_ax_dx,base,_xchg_ax_dx
v30op_repne,0x93,i286op_repne,_xchg_ax_bx,base,_xchg_ax_bx
v30op_repne,0x94,i286op_repne,_xchg_ax_sp,base,_xchg_ax_sp
v30op_repne,0x95,i286op_repne,_xchg_ax_bp,base,_xchg_ax_bp
v30op_repne,0x96,i286op_repne,_xchg_ax_si,base,_xchg_ax_si
v30op_repne,0x97,i286op_repne,_xchg_ax_di,base,_xchg_ax_di
v30op_repne,0x98,i286op_repne,_cbw,base,_cbw
v30op_repne,0x99,i286op_repne,_cwd,base,_cwd
v30op_repne,0x9a,i286op_repne,_call_far,base,_call_far
v30op_repne,0x9b,i286op_repne,_wait,base,_wait
v30op_repne,0x9c,i286op_repne,_pushf,patch,v30_pushf
v30op_repne,0x9d,i286op_repne,_popf,patch,v30_popf
v30op_repne,0x9e,i286op_repne,_sahf,base,_sahf
v30op_repne,0x9f,i286op_repne,_lahf,base,_lahf
v30op_repne,0xa0,i286op_repne,_mov_al_m8,base,_mov_al_m8
v30op_repne,0xa1,i286op_repne,_mov_ax_m16,base,_mov_ax_m16
v30op_repne,0xa2,i286op_repne,_mov_m8_al,base,_mov_m8_al
v30op_repne,0xa3,i286op_repne,_mov_m16_ax,base,_mov_m16_ax
v30op_repne,0xa4,i286op_repne,i286c_rep_movsb,base,i286c_rep_movsb
v30op_repne,0xa5,i286op_repne,i286c_rep_movsw,base,i286c_rep_movsw
v30op_repne,0xa6,i286op_repne,i286c_repne_cmpsb,base,i286c_repne_cmpsb
v30op_repne,0xa7,i286op_repne,i286c_repne_cmpsw,base,i286c_repne_cmpsw
v30op_repne,0xa8,i286op_repne,_test_al_data8,base,_test_al_data8
